effica_id|name
27|Huovarin päiväkoti
74|Telkän päiväkoti
100|Koivistonkylän kerho
119|Hervannan  leikkitoimintakeskus
123|Kuvataidekerho Wäinö
131|LamminpääAhjola
134|Harjusrk/Epilä
135|Harjukaupunki
137|Kalkkukaupunki
138|Raholakaupunki
139|Lentävänniemikaupunki
141|Wivi Lönnkaupunki
142|Ranskalainen iltapäivä ry
144|International Early Education Center Koululaiset FISTA
145|English School of Tampere FISTA
147|Johanneskaupunki
148|PispalaAhjola
150|Pispalasrk/Tahmela
151|Svenska samskolan
152|Kissanmaakaupunki
154|TammelaAhjola
156|Järvensivukaupunki
158|Takahuhtikaupunki
160|Atalakaupunki
161|Leinolakaupunki
162|Linnainmaakaupunki
164|Linnainmaasrk
167|Vehmainenkaupunki
169|Annalakaupunki
170|Kaukajärvikaupunki
178|Hallilakaupunki
180|Koivistokaupunki
181|Koivistosrk
184|Rudolf Steiner-koulu
185|Härmäläkaupunki
187|Peltolammisrk
190|Sorilakaupunki
191|Terälahtikaupunki
193|Annala
194|Rahola
196|Puistokoulu
205|Sampokaupunki
213|Etelä-Hervannan koulun esiopetus
244|Lempäälän päivähoito
245|Nokian päivähoito
247|Pirkkalan päivähoito
249|Ylöjärven päivähoito
250|Muut kunnat päivähoito
284|Hyhkyn koulun esiopetus
289|Raholan koulun esiopetus
290|Tesoman koulun esiopetus
294|Harjun koulun esiopetus
295|Ikurin koulun esiopetus
296|Lamminpään koulun esiopetus
297|Lentävänniemen koulun esiopetus
298|Lielahden koulun esiopetus
299|Kalkun koulun esiopetus
300|Aleksanterin koulun esiopetus
301|Pispalan koulun esiopetus
303|Hippoksen päiväkodin esiopetus
305|Juhannuskylän koulun esiopetus
308|Vellamon päiväkodin esiopetus
319|Hallilan koulun esiopetus
320|Kanjonin koulun esiopetus
321|Pohjois-Hervannan koulun esiopetus
322|Härmälän esiopetus
323|Järvensivun koulun esiopetus
324|Koiviston koulun esiopetus
326|Muotialan koulun esiopetus
328|Peltolammin koulun esiopetus
329|Kissanmaan koulun esiopetus
331|Ankkarin päiväkodin esiopetus
332|Irjalan koulun esiopetus
338|Pappilan päiväkodin esiopetus
342|Annalan koulun esiopetus
343|Karosen koulun esiopetus
344|Kaukajärven koulun esiopetus
345|Atalan koulun esiopetus
346|Kämmenniemen koulun esiopetus
347|Terälahden koulun esiopetus
348|Leinolan koulun esiopetus
349|Olkahisen koulun esiopetus
350|Sorilan koulun esiopetus
351|Takahuhdin koulun esiopetus
352|Vehmaisten koulun esiopetus
361|HyhkyAhjola
362|LielahtiAhjola
363|MuotialaAhjola
364|NekalaAhjola
365|TakahuhtiHNV/Irjala
366|Tampereen kristillinen koulu
367|Annalan kerho
375|Luhtaan päiväkodin esiopetus
376|Vuoreksen koulun esiopetus
380|Kämmenniemikaupunki
382|VuoresIlves ry.
383|Pohjois-Hervantakaupunki
387|Kämmenniemen kerho
388|Rantaperkiön kerho
395|Tanssillinen iltapäiväkerho
399|Tammelan koulun esiopetus
400|Tampereen yliopiston Normaalikoulun esiopetus
401|Kalkunvuoren koulun esiopetus
409|Kalkunpesä
412|Iidesrannan kerho
414|MessukyläIlves ry.
415|Juhannuskylä Ahjola
416|Peltolammikaupunki
417|Danny's Bollywood Dance Crewkeskusta
418|Kalkunvuorikaupunki
419|Saksankielinen iltapäivä ry
422|Tammela
435|Messukylän koulun esiopetus
436|Irjalan kerho
438|OlkahinenNMKY
439|IkuriRientola
446|Metsäniityn koulun esiopetus
458|Linnainmaan koulun esiopetus
460|Kanjonikaupunki
464|Tesomajärven päiväkoti
465|Etelä-Hervantakaupunki
468|Touhula Rauhala
473|Talvitien koulun esiopetus
474|Vastaanottokeskuksen EELA-kerho
475|Pelipuiston koulun esiopetus
476|Sunshine Early Learning Centre esiopetus
477|The English School of Tampere esiopetus
478|Sunshine Early Learning Centre Koululaiset
479|Pelipuistokaupunki
480|Danny's Bollywood Dance CrewVehmainen
481|TalvitieTNMKY
483|Wivi LönnIpanala Oy
492|2.3. Yksityinen - Tampereen englantilaisen koulun ystävät ry
496|Sammon koulun esiopetus
503|Tesomakaupunki
504|Kaarila
507|Tammelakaupunki
514|Irjalakaupunki
517|Robotti päiväkoti
524|Kalevanharjun päiväkodin esiopetus
527|Sairaalankatukaupunki